Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
El Aguajillo (El Aguajito),"(27.49563, -107.89174)",CH1693,32.93 km,CH2269,"(27.02892, -107.73714)",CH6610,"(27.56078, -107.81781)",—,—
Mesa del Ãguila,"(27.02892, -107.73714)",CH2269,35.37 km,CH1693,"(27.49563, -107.89174)",CH1455,"(27.39202, -108.42094)",—,—
Las Sabanillas,"(27.02892, -107.73714)",CH2269,36.75 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",CH1693,"(27.49563, -107.89174)"
El Maguey,"(27.45339, -105.81033)",CH0375,41.42 km,CH3953,"(27.97104, -106.11280)",CH3939,"(27.36270, -105.74811)",CH3940,"(28.07458, -106.19769)"
El Oro,"(24.94536, -106.94647)",SI0733,32.71 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",SI0507,"(25.46960, -106.92968)"
La Cupia (Jojobitos),"(25.05276, -106.33673)",DU0174,32.88 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",—,—
Las Playas,"(23.92150, -105.14519)",DU4459,31.49 km,DU0266,"(23.92609, -105.34104)",DU0550,"(23.86555, -105.20646)",DU5631,"(23.85471, -105.24624)"
El Durazno,"(26.04211, -106.50761)",CH3301,50.91 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",CH6372,"(26.80163, -105.82446)"
Tlaxcala,"(26.04211, -106.50761)",CH3301,46.13 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",CH6372,"(26.80163, -105.82446)"
La Laguna,"(23.07844, -104.54656)",DU0496,63.32 km,NA0907,"(22.14175, -105.09664)",NA4258,"(22.26860, -105.20875)",NA0194,"(21.94281, -104.99812)"
Jocouixtle (Palo Amarillo),"(23.07844, -104.54656)",DU0496,59.88 km,NA0907,"(22.14175, -105.09664)",NA4258,"(22.26860, -105.20875)",NA0194,"(21.94281, -104.99812)"
San NicolÃ¡s,"(22.63707, -105.31837)",NA7565,49.26 km,NA4245,"(22.49835, -105.32586)",NA4258,"(22.26860, -105.20875)",NA0228,"(22.39346, -105.30152)"
Los Capulines,"(23.07844, -104.54656)",DU0496,30.62 km,DU4411,"(23.47328, -104.39306)",—,—,—,—
Las Pulgas,"(22.63707, -105.31837)",NA7565,63.75 km,DU0235,"(23.77339, -105.35650)",DU6999,"(23.77830, -105.37182)",DU2983,"(23.78909, -105.34690)"
La Lluvia de Oro,"(22.76669, -105.67305)",SI0711,56.40 km,SI0106,"(22.81546, -105.73509)",NA7565,"(22.63707, -105.31837)",SI9133,"(22.90478, -105.80685)"
Capomal,"(23.77339, -105.35650)",DU0235,62.36 km,DU6999,"(23.77830, -105.37182)",DU2983,"(23.78909, -105.34690)",DU4501,"(23.70194, -105.57852)"
La Escondida [De Calaveras],"(23.00004, -105.85801)",SI0749,52.65 km,SI3720,"(22.98830, -105.85966)",SI3725,"(23.03549, -105.87637)",SI3727,"(22.83528, -105.77075)"
Carrizos,"(23.07844, -104.54656)",DU0496,50.63 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
El Naranjito [Del Campamento],"(23.52929, -105.78702)",SI4799,31.88 km,DU4501,"(23.70194, -105.57852)",SI6211,"(23.48669, -105.84315)",DU5639,"(23.74774, -105.53415)"
Las Casitas,"(23.07844, -104.54656)",DU0496,51.35 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
Cerro Bola,"(22.63707, -105.31837)",NA7565,54.93 km,DU0496,"(23.07844, -104.54656)",SI5259,"(22.69774, -105.60621)",NA0226,"(22.51984, -105.34442)"
La Cruz [De Sarcillos],"(23.07844, -104.54656)",DU0496,47.48 km,NA7565,"(22.63707, -105.31837)",—,—,—,—
La Laguna [De la Puerta],"(23.52929, -105.78702)",SI4799,48.08 km,DU5639,"(23.74774, -105.53415)",DU0235,"(23.77339, -105.35650)",DU6999,"(23.77830, -105.37182)"
San JosÃ© de Miravalles,"(23.92609, -105.34104)",DU0266,43.10 km,DU0472,"(23.86234, -105.31529)",DU4459,"(23.92150, -105.14519)",DU5631,"(23.85471, -105.24624)"
Calaveras,"(23.92609, -105.34104)",DU0266,38.58 km,DU0472,"(23.86234, -105.31529)",DU4459,"(23.92150, -105.14519)",DU5631,"(23.85471, -105.24624)"
El Astillero,"(23.81039, -105.54583)",DU0471,52.59 km,DU1926,"(23.73250, -105.69011)",DU5639,"(23.74774, -105.53415)",DU0266,"(23.92609, -105.34104)"
Las Papas,"(25.05276, -106.33673)",DU0174,35.54 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",—,—
Tanibol,"(24.41386, -106.69064)",SI4807,40.20 km,SI2224,"(24.38410, -106.69087)",DU0174,"(25.05276, -106.33673)",—,—
Los Robles,"(24.41386, -106.69064)",SI4807,38.42 km,SI2224,"(24.38410, -106.69087)",SI5791,"(23.94176, -106.42636)",—,—
Mesa Blanca,"(24.94536, -106.94647)",SI0733,37.12 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",SI4807,"(24.41386, -106.69064)"
El Carrizo,"(24.41386, -106.69064)",SI4807,46.30 km,SI2224,"(24.38410, -106.69087)",SI5791,"(23.94176, -106.42636)",SI5235,"(23.92432, -106.62329)"
Acapulco,"(25.46960, -106.92968)",SI0507,52.66 km,SI1818,"(25.47913, -106.93961)",CH3301,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)"
El Saucillal,"(25.33103, -105.77888)",DU0634,51.19 km,DU5626,"(25.33328, -105.73028)",DU2363,"(25.34073, -105.72376)",DU0468,"(25.34867, -105.71981)"
El Saucito de Santa Rosa,"(25.93063, -105.95694)",DU0225,40.12 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",—,—
El Saucillal,"(26.04211, -106.50761)",CH3301,49.82 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",DU0174,"(25.05276, -106.33673)"
El Tazcatal,"(25.46960, -106.92968)",SI0507,33.13 km,SI1818,"(25.47913, -106.93961)",—,—,—,—
La CupÃ­a,"(25.05276, -106.33673)",DU0174,33.06 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)"
El Potrerito (Potrerillos),"(24.94536, -106.94647)",SI0733,33.51 km,SI2620,"(24.96764, -106.97108)",SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)"
La Pinosa,"(25.46960, -106.92968)",SI0507,37.13 km,SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)",—,—
El Capadero,"(21.66592, -100.57576)",SL8988,34.87 km,SL5998,"(21.82567, -100.03883)",SL0909,"(21.91709, -100.10040)",SL0523,"(21.88708, -100.05241)"
El Fraile,"(21.66592, -100.57576)",SL8988,33.95 km,GT1196,"(21.37447, -100.54842)",GT1559,"(21.29987, -100.48099)",GT0609,"(21.30792, -100.51104)"
La Esperanza,"(17.37841, -101.05556)",GR3317,47.08 km,GR5716,"(17.27178, -100.89222)",GR0233,"(17.26701, -100.88046)",GR0516,"(17.32510, -101.04249)"
Las Juntas,"(17.92179, -101.32309)",GR6118,37.67 km,GR8227,"(17.96614, -101.81194)",MI7482,"(18.24819, -101.88580)",MI0895,"(18.11272, -101.89917)"
El Otate,"(18.24280, -100.89106)",GR0456,43.71 km,GR2153,"(18.29553, -100.85231)",GR6118,"(17.92179, -101.32309)",GR6769,"(18.15450, -100.50047)"
El Manguito,"(17.22878, -100.63653)",GR1505,33.06 km,GR4010,"(17.22302, -100.63185)",GR0233,"(17.26701, -100.88046)",GR5716,"(17.27178, -100.89222)"
Platanillo de los Saucitos,"(17.37841, -101.05556)",GR3317,42.03 km,GR0516,"(17.32510, -101.04249)",GR5716,"(17.27178, -100.89222)",GR0233,"(17.26701, -100.88046)"
Coco de Guayameo (El Coco),"(18.47569, -100.97771)",GR2165,36.48 km,GR0464,"(18.34305, -100.88518)",GR0456,"(18.24280, -100.89106)",GR6118,"(17.92179, -101.32309)"
La Barranca de los Pelones,"(17.92179, -101.32309)",GR6118,32.96 km,GR0456,"(18.24280, -100.89106)",GR0464,"(18.34305, -100.88518)",GR2165,"(18.47569, -100.97771)"
La Mesa,"(21.98111, -103.58889)",JL8886,49.66 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
Huilotita,"(21.98111, -103.58889)",JL8886,41.73 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
Rancho de Tranquilino de la Cruz,"(21.98111, -103.58889)",JL8886,58.21 km,NA5834,"(21.42382, -104.44885)",NA5833,"(21.44087, -104.48832)",JL1636,"(21.97547, -103.50061)"
La Frontera,"(21.98111, -103.58889)",JL8886,60.19 km,NA5833,"(21.44087, -104.48832)",JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)"
La Petaca,"(21.80789, -103.46603)",ZA0263,30.06 km,ZA1169,"(21.50249, -103.55792)",JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)"
Buenavista (El Tuerto),"(22.76281, -103.57483)",ZA0128,49.00 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
La Ciudad (Rancho Ciudad),"(21.98111, -103.58889)",JL8886,52.56 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
Las Pitahayas,"(21.98111, -103.58889)",JL8886,74.03 km,ZA0292,"(22.30032, -103.55819)",NA5833,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)"
Gato MontÃ©s,"(21.98111, -103.58889)",JL8886,54.64 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Mesa del Picacho,"(22.30032, -103.55819)",ZA0292,52.50 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
El Aguacate,"(21.98111, -103.58889)",JL8886,51.03 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
El GachupÃ­n,"(22.30032, -103.55819)",ZA0292,72.11 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
El Maguey,"(22.30032, -103.55819)",ZA0292,73.96 km,JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)",NA5833,"(21.44087, -104.48832)"
Motoalismo,"(21.98111, -103.58889)",JL8886,60.80 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Los Guaises,"(22.30032, -103.55819)",ZA0292,73.38 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
El Aguacate,"(21.98111, -103.58889)",JL8886,48.74 km,JL1636,"(21.97547, -103.50061)",ZA0292,"(22.30032, -103.55819)",JL8887,"(21.92350, -103.44289)"
Los Amolillos,"(22.30032, -103.55819)",ZA0292,55.80 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
EscalÃ³n,"(22.30032, -103.55819)",ZA0292,60.31 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Palmillas (Rancho el Olvido),"(21.98111, -103.58889)",JL8886,48.66 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
Casa Blanca,"(22.30032, -103.55819)",ZA0292,51.81 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
La Golondrina,"(22.30032, -103.55819)",ZA0292,66.94 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Los Pitahayos,"(22.30032, -103.55819)",ZA0292,56.57 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
Las Pitahayas,"(22.30032, -103.55819)",ZA0292,65.85 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Cabeza del Llano,"(22.30032, -103.55819)",ZA0292,81.83 km,DU0496,"(23.07844, -104.54656)",JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)"
CiÃ©nega del Picacho,"(21.98111, -103.58889)",JL8886,54.80 km,JL1636,"(21.97547, -103.50061)",ZA0292,"(22.30032, -103.55819)",ZA0263,"(21.80789, -103.46603)"
Los Encinos,"(22.30032, -103.55819)",ZA0292,56.66 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Escondida,"(21.98111, -103.58889)",JL8886,52.40 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
La PeÃ±a,"(21.98111, -103.58889)",JL8886,58.18 km,JL1636,"(21.97547, -103.50061)",NA5834,"(21.42382, -104.44885)",ZA0292,"(22.30032, -103.55819)"
El Ochote,"(21.98111, -103.58889)",JL8886,69.70 km,ZA0292,"(22.30032, -103.55819)",NA5833,"(21.44087, -104.48832)",NA5834,"(21.42382, -104.44885)"
Rancho la Chaquira,"(21.98111, -103.58889)",JL8886,63.12 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
La Arriera,"(21.50249, -103.55792)",ZA1169,31.45 km,ZA0044,"(21.46583, -103.46193)",—,—,—,—
La Catarina,"(21.50249, -103.55792)",ZA1169,40.48 km,JL8886,"(21.98111, -103.58889)",ZA0263,"(21.80789, -103.46603)",ZA0044,"(21.46583, -103.46193)"
Las Higueras,"(18.07419, -102.75777)",MI7528,48.53 km,MI1889,"(18.60000, -103.50139)",MI3038,"(18.77230, -103.16224)",MI5655,"(18.78114, -103.15643)"
Barranca del LimÃ³n,"(18.07419, -102.75777)",MI7528,46.72 km,MI3038,"(18.77230, -103.16224)",MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)"
El Huge,"(18.07419, -102.75777)",MI7528,34.67 km,MI9776,"(18.73733, -102.79256)",MI5684,"(18.36263, -102.29986)",MI4116,"(18.39137, -102.29289)"
Los Cimientos,"(18.07419, -102.75777)",MI7528,30.49 km,MI5684,"(18.36263, -102.29986)",MI7531,"(18.02469, -102.46203)",MI4116,"(18.39137, -102.29289)"
La Padilla,"(19.09128, -100.66348)",MI1577,34.02 km,MI1530,"(19.42400, -100.90378)",MI4262,"(18.64277, -100.89956)",MI0107,"(19.20863, -100.57484)"
La Pilita,"(19.09128, -100.66348)",MI1577,35.12 km,MI1530,"(19.42400, -100.90378)",MI2458,"(19.42190, -101.21420)",MI0107,"(19.20863, -100.57484)"
El Aguacate,"(19.09128, -100.66348)",MI1577,33.96 km,MI1530,"(19.42400, -100.90378)",MI4262,"(18.64277, -100.89956)",MI1393,"(18.63505, -100.89195)"
La Verija,"(19.09128, -100.66348)",MI1577,33.72 km,MI4262,"(18.64277, -100.89956)",MI1393,"(18.63505, -100.89195)",MI2334,"(18.62467, -100.90117)"
Los Parejos,"(18.77230, -103.16224)",MI3038,35.89 km,MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)",MI1889,"(18.60000, -103.50139)"
La Granada,"(18.77230, -103.16224)",MI3038,31.11 km,MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)",MI1889,"(18.60000, -103.50139)"
La Mesa del Izote,"(18.77230, -103.16224)",MI3038,42.66 km,MI9776,"(18.73733, -102.79256)",MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)"
La Parota,"(18.66281, -101.64622)",MI7606,35.13 km,GR2165,"(18.47569, -100.97771)",MI5707,"(19.05797, -101.40989)",MI2334,"(18.62467, -100.90117)"
San Pablo,"(18.66281, -101.64622)",MI7606,32.14 km,MI5707,"(19.05797, -101.40989)",MI1971,"(19.08002, -101.50619)",—,—
La Estancia,"(19.05797, -101.40989)",MI5707,33.74 km,MI1526,"(19.20737, -101.43131)",MI1879,"(19.23392, -101.42118)",MI0352,"(19.38686, -101.27492)"
La Changunguera,"(18.36263, -102.29986)",MI5684,32.09 km,MI4116,"(18.39137, -102.29289)",MI3023,"(18.35408, -102.28608)",MI4112,"(18.25670, -102.28735)"
El LimÃ³n,"(22.63707, -105.31837)",NA7565,33.62 km,NA0226,"(22.51984, -105.34442)",NA4245,"(22.49835, -105.32586)",NA7440,"(22.50514, -105.35680)"
El Maguey,"(22.14175, -105.09664)",NA0907,82.91 km,NA0194,"(21.94281, -104.99812)",NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)"
Las Sillas,"(21.94281, -104.99812)",NA0194,56.74 km,NA2847,"(21.66886, -104.84350)",NA0907,"(22.14175, -105.09664)",NA0220,"(21.94192, -105.07856)"
Paredes,"(21.66886, -104.84350)",NA2847,42.48 km,NA0195,"(21.50351, -104.70170)",NA0221,"(21.46807, -104.65590)",NA5268,"(21.58183, -104.82494)"
El Conejo,"(21.66886, -104.84350)",NA2847,63.32 km,NA5833,"(21.44087, -104.48832)",NA0194,"(21.94281, -104.99812)",NA0195,"(21.50351, -104.70170)"
Guadalupe (El Magueyito),"(22.14175, -105.09664)",NA0907,44.30 km,NA0194,"(21.94281, -104.99812)",NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)"
El Metate,"(22.14175, -105.09664)",NA0907,31.34 km,NA0194,"(21.94281, -104.99812)",NA0199,"(22.05219, -105.11579)",NA4258,"(22.26860, -105.20875)"
Santos Rojas,"(21.94281, -104.99812)",NA0194,59.27 km,NA0907,"(22.14175, -105.09664)",NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)"
El Llanito,"(22.14175, -105.09664)",NA0907,41.65 km,NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)",NA0026,"(21.95636, -105.13055)"
Marcelino de JesÃºs GerÃ³nimo,"(22.14175, -105.09664)",NA0907,47.51 km,NA0194,"(21.94281, -104.99812)",NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)"
Lino de la Cruz,"(21.94281, -104.99812)",NA0194,47.55 km,NA0907,"(22.14175, -105.09664)",NA0199,"(22.05219, -105.11579)",NA0220,"(21.94192, -105.07856)"
Los Capulines,"(22.26860, -105.20875)",NA4258,56.60 km,NA0228,"(22.39346, -105.30152)",NA4245,"(22.49835, -105.32586)",NA7565,"(22.63707, -105.31837)"
El Guajolote,"(22.26860, -105.20875)",NA4258,49.12 km,NA0228,"(22.39346, -105.30152)",NA4245,"(22.49835, -105.32586)",NA6513,"(22.22839, -105.26646)"
La Huerta,"(21.42382, -104.44885)",NA5834,44.77 km,NA5833,"(21.44087, -104.48832)",JL3719,"(21.06036, -104.05015)",JL7658,"(21.05342, -104.04722)"
Las Golondrinas,"(21.42382, -104.44885)",NA5834,51.35 km,NA5833,"(21.44087, -104.48832)",NA0192,"(21.42181, -104.61091)",NA0221,"(21.46807, -104.65590)"
GutiÃ©rrez,"(21.50249, -103.55792)",ZA1169,49.57 km,NA5834,"(21.42382, -104.44885)",JL3719,"(21.06036, -104.05015)",NA5833,"(21.44087, -104.48832)"
La Pulga,"(21.50249, -103.55792)",ZA1169,39.60 km,ZA0044,"(21.46583, -103.46193)",JL3719,"(21.06036, -104.05015)",JL7658,"(21.05342, -104.04722)"
Tierras Blancas,"(21.44087, -104.48832)",NA5833,55.86 km,NA5834,"(21.42382, -104.44885)",NA0221,"(21.46807, -104.65590)",NA0195,"(21.50351, -104.70170)"
Ocota,"(21.44087, -104.48832)",NA5833,51.12 km,NA5834,"(21.42382, -104.44885)",NA0195,"(21.50351, -104.70170)",NA2847,"(21.66886, -104.84350)"
Arroyo del Pescado,"(21.98111, -103.58889)",JL8886,53.96 km,NA5834,"(21.42382, -104.44885)",ZA1169,"(21.50249, -103.55792)",JL1636,"(21.97547, -103.50061)"
Las CaÃ±as (El Aparato),"(21.42382, -104.44885)",NA5834,48.91 km,NA5833,"(21.44087, -104.48832)",ZA1169,"(21.50249, -103.55792)",NA0192,"(21.42181, -104.61091)"
El Colorado,"(21.42382, -104.44885)",NA5834,31.74 km,JL3719,"(21.06036, -104.05015)",JL7658,"(21.05342, -104.04722)",NA2610,"(21.02506, -104.23539)"
Guadalupe GonzÃ¡lez,"(21.44087, -104.48832)",NA5833,41.45 km,NA5834,"(21.42382, -104.44885)",NA0221,"(21.46807, -104.65590)",NA0192,"(21.42181, -104.61091)"
Santa Clara de Buenavista,"(21.42382, -104.44885)",NA5834,32.79 km,NA5833,"(21.44087, -104.48832)",—,—,—,—
Tierras Coloradas,"(21.42382, -104.44885)",NA5834,59.18 km,NA5833,"(21.44087, -104.48832)",NA0221,"(21.46807, -104.65590)",NA0192,"(21.42181, -104.61091)"
La Otra Banda,"(21.42382, -104.44885)",NA5834,47.16 km,NA5833,"(21.44087, -104.48832)",NA0192,"(21.42181, -104.61091)",NA0221,"(21.46807, -104.65590)"
Pando Colorado,"(17.21797, -97.03767)",OA0935,32.14 km,OA0638,"(16.70686, -97.01199)",OA0934,"(17.24392, -97.05406)",OA0933,"(17.27029, -97.07418)"
Lachiguini,"(16.94336, -95.71305)",OA9481,30.09 km,OA7629,"(16.40775, -95.59547)",OA8306,"(16.43850, -95.44097)",OA9538,"(16.97270, -95.75944)"
Cabo Catoche,"(21.52179, -87.37772)",QR0163,31.91 km,QR2465,"(21.42283, -87.33630)",230299,"(21.30434, -86.81478)",QR0522,"(21.22172, -86.92207)"
Dos Hermanos,"(18.50081, -88.28485)",QR7666,53.92 km,QR6046,"(18.49500, -88.28838)",QR0792,"(18.56401, -88.25132)",QR8017,"(18.73585, -87.69332)"
Camarones,"(19.58520, -88.59222)",QR8727,30.58 km,QR1035,"(19.74398, -88.71524)",QR0219,"(19.74575, -88.70225)",QR0551,"(19.75512, -88.70239)"
Los Cardenales,"(18.69908, -88.85603)",QR8106,39.13 km,QR8007,"(19.20461, -88.53603)",QR0966,"(18.60340, -88.81161)",—,—
Ojo de Agua,"(25.47913, -106.93961)",SI1818,32.19 km,SI0507,"(25.46960, -106.92968)",CH0717,"(26.08042, -106.95358)",CH2750,"(26.09427, -106.96368)"
Los Terreros,"(25.47913, -106.93961)",SI1818,33.13 km,SI0507,"(25.46960, -106.92968)",CH0717,"(26.08042, -106.95358)",CH2750,"(26.09427, -106.96368)"
El Caribe,"(26.61647, -108.30358)",SI2520,30.58 km,SI2521,"(26.55525, -108.35581)",SI2522,"(26.37953, -108.35475)",SI2200,"(26.71148, -108.32373)"
Ojo de Agua,"(23.73250, -105.69011)",DU1926,35.76 km,SI1815,"(23.56978, -105.83707)",SI4799,"(23.52929, -105.78702)",SI6211,"(23.48669, -105.84315)"
Arroyo de Agua,"(25.86436, -108.15831)",SI0659,35.64 km,SI2530,"(25.83296, -108.14041)",SI6077,"(25.79969, -107.87472)",SI3535,"(25.82872, -108.21364)"
El Chicural,"(25.86436, -108.15831)",SI0659,36.46 km,SI2530,"(25.83296, -108.14041)",SI6077,"(25.79969, -107.87472)",SI3535,"(25.82872, -108.21364)"
Machomobampo,"(27.82269, -109.88428)",SO5308,31.23 km,SO8137,"(27.70315, -110.36602)",SO7818,"(27.64455, -110.29534)",SO1482,"(27.60482, -110.13121)"
San Jorge,"(29.20880, -111.75971)",SO9649,46.01 km,SO7924,"(29.61267, -111.02581)",SO3482,"(29.47935, -110.99680)",SO5177,"(29.02345, -111.47593)"
El Tinaco (Campo de GÃ³mez),"(29.02345, -111.47593)",SO5177,30.52 km,SO9649,"(29.20880, -111.75971)",SO0383,"(28.99501, -111.57624)",SO3910,"(29.03288, -111.14254)"
El Puerto de Posada,"(28.86132, -112.01575)",SO2616,30.04 km,SO6448,"(28.84046, -111.96392)",SO9649,"(29.20880, -111.75971)",SO0379,"(28.82272, -111.93654)"
Pozo del Negro Dos,"(29.20880, -111.75971)",SO9649,41.05 km,SO5177,"(29.02345, -111.47593)",SO0383,"(28.99501, -111.57624)",SO7924,"(29.61267, -111.02581)"
Taraicitos,"(30.12656, -108.91421)",SO0001,33.18 km,SO0907,"(30.20824, -108.95929)",SO0502,"(30.35709, -108.93383)",—,—
Poccheil,"(19.58111, -89.60217)",CA9082,34.95 km,YU0626,"(20.15235, -89.24969)",YU0621,"(20.18876, -89.38396)",YU1854,"(20.19503, -89.34396)"
Noria de Guadalupe,"(24.17361, -101.00128)",SL0534,42.72 km,ZA1130,"(24.66332, -101.71454)",CO1859,"(24.63854, -100.89104)",—,—
Pozo Colorado,"(24.66332, -101.71454)",ZA1130,46.45 km,CO4981,"(24.86534, -101.08529)",SL0534,"(24.17361, -101.00128)",CO1859,"(24.63854, -100.89104)"
Juan PÃ©rez Lindavista (Juan PÃ©rez),"(23.15214, -103.19186)",ZA7003,32.33 km,ZA0358,"(23.08931, -103.18403)",ZA0328,"(23.57328, -103.30403)",ZA0361,"(23.01325, -103.20767)"
Maravillas,"(23.99560, -103.02164)",ZA0041,31.99 km,ZA0473,"(23.94153, -102.91383)",DU1503,"(24.63264, -102.77866)",ZA7355,"(23.85047, -103.01236)"
San MartÃ­n,"(22.88803, -103.48314)",ZA7001,37.30 km,ZA0382,"(22.78473, -103.55256)",ZA5108,"(22.77271, -103.56863)",ZA0447,"(22.76671, -103.57033)"
Laguna de Santa MarÃ­a,"(22.30032, -103.55819)",ZA0292,32.82 km,ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)"
El Refugio,"(23.07844, -104.54656)",DU0496,52.78 km,ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)"
El Mazateco,"(31.88160, -116.54694)",BN8329,43.31 km,BN1982,"(31.90011, -116.55286)",BN0004,"(31.86205, -116.54579)",BN8351,"(32.18726, -116.49301)"
Las Pilitas,"(32.47955, -116.18125)",BN2139,32.44 km,BN0472,"(32.50811, -116.08828)",BN4078,"(32.52188, -116.06189)",BN9023,"(32.55386, -116.02889)"
El Albur,"(31.88160, -116.54694)",BN8329,33.19 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
El Catorce,"(31.88160, -116.54694)",BN8329,35.05 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Terralinda (RincÃ³n San Miguel),"(31.86205, -116.54579)",BN0004,34.74 km,BN8329,"(31.88160, -116.54694)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
San Ignacito,"(30.07775, -115.72728)",BN5758,129.79 km,BN0146,"(30.15282, -115.79011)",BN7136,"(30.91503, -114.72235)",BN5035,"(30.99206, -114.83380)"
CimarrÃ³n [Campo],"(30.91503, -114.72235)",BN7136,56.12 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
